단어,뜻
a,(감탄사)
namako,추가적
akesi,파충류/ 양서류
nanpa,수
ala,아니다/ 없다
nasa,이상한
alasa,채집/ 사냥
nasin,길
ale/ ali,모두
nena,언덕
anpa,아래
ni,그/ 그것
ante,다르다
nimi,이름
anu,또는
noka,발
awen,머무르다
o,(호격/ 명령)
e,(목적어)
oko,안구
en,그리고
olin,사랑
esun,가게
ona,(3인칭) 그/ 그것
ijo,물건
open,열다
ike,나쁘다
pakala,부수다
ilo,도구
pali,하다
insa,안
palisa,막대
jaki,더럽다
pan,곡식
jan,사람
pana,주다
jelo,노랗다
pata,형제자매
jo,가지다
pi,~의
kala,물고기
pilin,느끼다
kalama,소리
pimeja,검다
kama,오다
pini,끝
kasi,식물
pipi,벌레
ken,할 수 있다
poka,옆
kepeken,사용
poki,그릇
kili,과채
pona,좋다
kin,또한
sama,같다
kipisi,자르다
seli,불/ 뜨겁다
kiwen,딱딱하다/ 돌
selo,껍질
ko,반고체
seme,무엇
kon,공기/ 바람
sewi,위/ 높다
kule,색
sijelo,몸
kute,듣다
sike,동그라미/ 둥글다
kulupu,단체
sin,새롭다
la,(부사어)
sina,너
lape,자다/ 쉬다
sinpin,앞/ 벽
laso,푸르다
sitelen,글/ 그림
lawa,머리/ 이끌다
sona,알다
len,옷/ 천
soweli,육상 포유류
lete,차갑다
suli,크다
li,(서술어)
suno,해/ 빛
lili,작다
supa,수평면
linja,길다/ 선
suwi,달다/ 사탕
lipu,종이/ 카드
tan,기원/ 원인
loje,붉다
taso,오직/ 그러나
lon,위치/ 존재
tawa,가다
luka,손/ 다섯
telo,물
lukin,보다
tenpo,시간
lupa,구멍
toki,말하다
ma,땅/ 나라
tomo,집
mama,어버이
tu,둘
mani,돈
unpa,성관계
meli,여자
uta,입
mi,나
utala,싸우다
mije,남자
walo,희다/ 밝다
moku,먹다
wan,하나
moli,죽다
waso,날짐승
monsi,등/ 뒤
wawa,힘
mu,(동물 울음소리)
weka,멀다/ 자리에 없다
mun,달
wile,바라다
musi,즐겁다
mute,많다
